starttime	seconds	ctime	dtime	ttime	wait
Tue Oct 06 15:39:14 2015	1444160354	6	15	20	14
Tue Oct 06 15:39:15 2015	1444160355	8	12	20	12
Tue Oct 06 15:39:14 2015	1444160354	9	12	20	12
Tue Oct 06 15:39:14 2015	1444160354	10	10	20	10
Tue Oct 06 15:39:14 2015	1444160354	11	10	20	9
Tue Oct 06 15:39:15 2015	1444160355	10	11	20	10
Tue Oct 06 15:39:14 2015	1444160354	8	12	20	12
Tue Oct 06 15:39:14 2015	1444160354	9	12	20	11
Tue Oct 06 15:39:14 2015	1444160354	8	12	21	12
Tue Oct 06 15:39:14 2015	1444160354	9	12	21	11
Tue Oct 06 15:39:14 2015	1444160354	10	10	21	10
Tue Oct 06 15:39:15 2015	1444160355	10	11	21	11
Tue Oct 06 15:39:14 2015	1444160354	9	12	21	12
Tue Oct 06 15:39:14 2015	1444160354	8	13	21	13
Tue Oct 06 15:39:14 2015	1444160354	9	13	21	13
Tue Oct 06 15:39:15 2015	1444160355	9	12	21	11
Tue Oct 06 15:39:14 2015	1444160354	8	14	21	14
Tue Oct 06 15:39:14 2015	1444160354	10	11	21	11
Tue Oct 06 15:39:14 2015	1444160354	8	14	21	13
Tue Oct 06 15:39:14 2015	1444160354	8	14	22	14
Tue Oct 06 15:39:14 2015	1444160354	9	13	22	12
Tue Oct 06 15:39:14 2015	1444160354	11	11	22	11
Tue Oct 06 15:39:14 2015	1444160354	11	11	22	10
Tue Oct 06 15:39:14 2015	1444160354	10	12	22	11
Tue Oct 06 15:39:14 2015	1444160354	9	13	22	13
Tue Oct 06 15:39:14 2015	1444160354	8	14	22	14
Tue Oct 06 15:39:14 2015	1444160354	11	12	22	11
Tue Oct 06 15:39:14 2015	1444160354	12	10	22	10
Tue Oct 06 15:39:15 2015	1444160355	10	12	22	12
Tue Oct 06 15:39:14 2015	1444160354	9	14	22	13
Tue Oct 06 15:39:14 2015	1444160354	12	10	22	10
Tue Oct 06 15:39:14 2015	1444160354	8	14	22	14
Tue Oct 06 15:39:14 2015	1444160354	11	12	22	11
Tue Oct 06 15:39:14 2015	1444160354	7	16	23	15
Tue Oct 06 15:39:14 2015	1444160354	9	14	23	14
Tue Oct 06 15:39:14 2015	1444160354	11	11	23	11
Tue Oct 06 15:39:14 2015	1444160354	9	14	23	14
Tue Oct 06 15:39:15 2015	1444160355	12	11	23	10
Tue Oct 06 15:39:14 2015	1444160354	8	15	23	15
Tue Oct 06 15:39:15 2015	1444160355	12	11	23	11
Tue Oct 06 15:39:14 2015	1444160354	8	15	23	15
Tue Oct 06 15:39:14 2015	1444160354	10	13	23	13
Tue Oct 06 15:39:14 2015	1444160354	8	15	24	15
Tue Oct 06 15:39:14 2015	1444160354	12	12	24	12
Tue Oct 06 15:39:14 2015	1444160354	8	17	25	15
Tue Oct 06 15:39:14 2015	1444160354	9	17	26	17
Tue Oct 06 15:39:15 2015	1444160355	13	17	30	17
Tue Oct 06 15:39:15 2015	1444160355	13	17	31	17
Tue Oct 06 15:39:14 2015	1444160354	24	9	33	9
Tue Oct 06 15:39:14 2015	1444160354	22	11	34	11
Tue Oct 06 15:39:15 2015	1444160355	22	13	34	13
Tue Oct 06 15:39:14 2015	1444160354	24	11	35	9
Tue Oct 06 15:39:15 2015	1444160355	19	17	36	17
Tue Oct 06 15:39:15 2015	1444160355	29	19	48	19
Tue Oct 06 15:39:15 2015	1444160355	29	19	48	19
Tue Oct 06 15:39:15 2015	1444160355	30	17	48	17
Tue Oct 06 15:39:15 2015	1444160355	30	17	48	17
Tue Oct 06 15:39:15 2015	1444160355	29	19	48	19
Tue Oct 06 15:39:15 2015	1444160355	30	19	49	19
Tue Oct 06 15:39:15 2015	1444160355	31	19	49	19
Tue Oct 06 15:39:15 2015	1444160355	31	20	50	20
Tue Oct 06 15:39:15 2015	1444160355	6	80	86	80
Tue Oct 06 15:39:15 2015	1444160355	76	17	93	17
Tue Oct 06 15:39:15 2015	1444160355	76	18	94	17
Tue Oct 06 15:39:15 2015	1444160355	77	18	95	18
Tue Oct 06 15:39:15 2015	1444160355	76	19	95	19
Tue Oct 06 15:39:15 2015	1444160355	78	17	95	17
Tue Oct 06 15:39:15 2015	1444160355	77	19	96	19
Tue Oct 06 15:39:15 2015	1444160355	77	19	96	19
Tue Oct 06 15:39:15 2015	1444160355	79	18	97	18
Tue Oct 06 15:39:15 2015	1444160355	79	18	97	18
